Search Characteristic,Values Selected
Counties,Entire State (All Counties)
Years,2019
,
Total,
N,Births
78,49143
,
Year 2019,
,Births
County of Residence,
UNKNOWN,45
Adair,283
Alfalfa,55
Atoka,150
Beaver,52
Beckham,296
Blaine,110
Bryan,589
Caddo,336
Canadian,1754
Carter,637
Cherokee,561
Choctaw,160
Cimarron,20
Cleveland,2810
Coal,68
Comanche,1725
Cotton,51
Craig,149
Creek,841
Custer,377
Delaware,434
Dewey,61
Ellis,48
Garfield,829
Garvin,356
Grady,567
Grant,36
Greer,45
Harmon,36
Harper,35
Haskell,148
Hughes,159
Jackson,360
Jefferson,64
Johnston,138
Kay,524
Kingfisher,183
Kiowa,94
Latimer,104
Leflore,590
Lincoln,372
Logan,495
Love,111
McClain,447
McCurtain,448
McIntosh,186
Major,78
Marshall,212
Mayes,439
Murray,155
Muskogee,841
Noble,125
Nowata,93
Okfuskee,145
Oklahoma,11310
Okmulgee,478
Osage,410
Ottawa,383
Pawnee,178
Payne,789
Pittsburg,494
Pontotoc,530
Pottawatomie,873
Pushmataha,117
Roger Mills,43
Rogers,984
Seminole,278
Sequoyah,513
Stephens,512
Texas,344
Tillman,77
Tulsa,8857
Wagoner,880
Washington,585
Washita,156
Woods,83
Woodward,242
