GEOID,NAME,B01001_026E,B01001_026M
40119,"Payne County, Oklahoma",40982,787
40125,"Pottawatomie County, Oklahoma",37536,412
40037,"Creek County, Oklahoma",36306,386
40109,"Oklahoma County, Oklahoma",407004,180
40131,"Rogers County, Oklahoma",46468,327
40027,"Cleveland County, Oklahoma",141914,610
40031,"Comanche County, Oklahoma",57036,1101
40145,"Wagoner County, Oklahoma",40786,354
40101,"Muskogee County, Oklahoma",34528,423
40017,"Canadian County, Oklahoma",74915,1123
40143,"Tulsa County, Oklahoma",333513,205
