GEOID,NAME,B13015_002E,B13015_002M
01,Alabama,60506,4925
02,Alaska,8757,1713
04,Arizona,87133,6032
05,Arkansas,36877,3201
06,California,450412,12915
08,Colorado,68829,5130
09,Connecticut,39537,3110
10,Delaware,12165,2608
11,District of Columbia,7986,1947
12,Florida,250538,9935
13,Georgia,141228,6907
15,Hawaii,19310,2235
16,Idaho,23424,2266
17,Illinois,141318,5490
18,Indiana,90077,5476
19,Iowa,40480,2922
20,Kansas,36992,2824
21,Kentucky,54757,3624
22,Louisiana,59199,5096
23,Maine,12708,1842
24,Maryland,76658,4934
25,Massachusetts,73773,5978
26,Michigan,108698,5883
27,Minnesota,72480,4671
28,Mississippi,38972,4001
29,Missouri,78185,5180
30,Montana,13370,2020
31,Nebraska,24344,2858
32,Nevada,39429,4111
33,New Hampshire,13617,1782
34,New Jersey,108771,6919
35,New Mexico,24730,3267
36,New York,223651,9540
37,North Carolina,131195,6584
38,North Dakota,10805,1579
39,Ohio,145372,7594
40,Oklahoma,51075,3075
41,Oregon,42612,3743
42,Pennsylvania,149597,7546
72,Puerto Rico,22016,3206
44,Rhode Island,11469,1971
45,South Carolina,67375,4960
46,South Dakota,12659,1904
47,Tennessee,88073,5052
48,Texas,417167,13744
49,Utah,52625,3841
50,Vermont,5473,1360
51,Virginia,108261,5659
53,Washington,97347,6087
54,West Virginia,18092,2328
55,Wisconsin,62338,4468
56,Wyoming,8487,1419
